,candidate1,candidate2,party1,party2,share1,share2
CA-01,Doug LaMalfa,Audrey Denney,Republican,Democratic,54.9,45.1
CA-10,Josh Harder,Jeff Denham,Democratic,Republican,52.3,47.7
CA-11,Mark DeSaulnier,John Fitzgerald,Democratic,Republican,74.1,25.9
CA-12,Nancy Pelosi,Lisa Remmer,Democratic,Republican,86.8,13.2
CA-13,Barbara Lee,Laura Wells,Democratic,Green,88.4,11.6
CA-14,Jackie Speier,Cristina Osmeña,Democratic,Republican,79.2,20.8
CA-15,Eric Swalwell,Rudy Peters,Democratic,Republican,73.0,27.0
CA-16,Jim Costa,Elizabeth Heng,Democratic,Republican,57.5,42.5
CA-17,Ro Khanna,Ron Cohen,Democratic,Republican,75.3,24.7
CA-18,Anna Eshoo,Christine Russell,Democratic,Republican,74.5,25.5
CA-19,Zoe Lofgren,Justin James Aguilera,Democratic,Republican,73.8,26.2
CA-02,Jared Huffman,Dale K. Mensing,Democratic,Republican,77.0,23.0
CA-20,Jimmy Panetta,Ronald Paul Kabat,Democratic,No party preference,81.4,18.6
CA-21,TJ Cox,David Valadao,Democratic,Republican,50.4,49.6
CA-22,Devin Nunes,Andrew Janz,Republican,Democratic,52.8,47.2
CA-23,Kevin McCarthy,Tatiana Matta,Republican,Democratic,63.7,36.3
CA-24,Salud Carbajal,Justin Fareed,Democratic,Republican,58.6,41.4
CA-25,Katie Hill,Steve Knight,Democratic,Republican,54.4,45.6
CA-26,Julia Brownley,Antonio Sabàto Jr.,Democratic,Republican,61.9,38.1
CA-27,Judy Chu,Bryan Witt,Democratic,Democratic,79.2,20.8
CA-28,Adam Schiff,Johnny Nalbandian,Democratic,Republican,78.4,21.6
CA-29,Tony Cárdenas,Benito Benny Bernal,Democratic,Republican,80.6,19.4
CA-03,John Garamendi,Charlie Schaupp,Democratic,Republican,58.1,41.9
CA-30,Brad Sherman,Mark Reed,Democratic,Republican,73.4,26.6
CA-31,Pete Aguilar,Sean Flynn,Democratic,Republican,58.7,41.3
CA-32,Grace Napolitano,Joshua M. Scott,Democratic,Republican,68.8,31.2
CA-33,Ted Lieu,Kenneth Wright,Democratic,Republican,70.0,30.0
CA-34,Jimmy Gomez,Kenneth Mejia,Democratic,Green,72.5,27.5
CA-35,Norma Torres,Christian Valiente,Democratic,Republican,69.4,30.6
CA-36,Raul Ruiz,Kimberlin Brown Pelzer,Democratic,Republican,59.0,41.0
CA-37,Karen Bass,Ron J. Bassilian,Democratic,Republican,89.1,10.9
CA-38,Linda Sánchez,Ryan Downing,Democratic,Republican,68.9,31.1
CA-39,Gil Cisneros,Young Kim,Democratic,Republican,51.6,48.4
CA-04,Tom McClintock,Jessica Morse,Republican,Democratic,54.1,45.9
CA-40,Lucille Roybal-Allard,Rodolfo Cortes Barragan,Democratic,Green,77.3,22.7
CA-41,Mark Takano,Aja Smith,Democratic,Republican,65.1,34.9
CA-42,Ken Calvert,Julia C. Peacock,Republican,Democratic,56.5,43.5
CA-43,Maxine Waters,Omar Navarro,Democratic,Republican,77.7,22.3
CA-44,Nanette Barragán,Aja Brown,Democratic,Democratic,68.3,31.7
CA-45,Katie Porter,Mimi Walters,Democratic,Republican,52.1,47.9
CA-46,Lou Correa,Russell Rene Lambert,Democratic,Republican,69.1,30.9
CA-47,Alan Lowenthal,John Briscoe,Democratic,Republican,64.9,35.1
CA-48,Harley Rouda,Dana Rohrabacher,Democratic,Republican,53.6,46.4
CA-49,Mike Levin,Diane Harkey,Democratic,Republican,56.4,43.6
CA-05,Mike Thompson,Anthony Mills,Democratic,No party preference,78.9,21.1
CA-50,Duncan D. Hunter,Ammar Campa-Najjar,Republican,Democratic,51.7,48.3
CA-51,Juan Vargas,Juan M. Hidalgo Jr.,Democratic,Republican,71.2,28.8
CA-52,Scott Peters,Omar Qudrat,Democratic,Republican,63.8,36.2
CA-53,Susan Davis,Morgan Murtaugh,Democratic,Republican,69.1,30.9
CA-06,Doris Matsui,Jrmar Jefferson,Democratic,Democratic,80.4,19.6
CA-07,Ami Bera,Andrew Grant,Democratic,Republican,55.0,45.0
CA-08,Paul Cook,Tim Donnelly,Republican,Republican,60.0,40.0
CA-09,Jerry McNerney,Marla Livengood,Democratic,Republican,56.5,43.5
