,candidate1,candidate2,party1,party2,share1,share2
FL-01,Matt Gaetz,Jennifer M. Zimmerman,Republican,Democratic,67.1%,32.9%
FL-10,Daniel Webster,Dana Cottrell,Republican,Democratic,65.2%,34.8%
FL-11,Daniel Webster,Dana Cottrell,Republican,Democratic,65.2%,34.8%
FL-12,Gus Bilirakis,Chris Hunter,Republican,Democratic,58.1%,39.7%
FL-13,Charlie Crist,George Buck,Democratic,Republican,57.6%,42.4%
FL-14,Ross Spano,Neil Combee,Republican,Republican,44.1%,33.8%
FL-15,Ross Spano,Kristen Carlson,Republican,Democratic,53.0%,47.0%
FL-16,Vern Buchanan,David Shapiro,Republican,Democratic,54.6%,45.4%
FL-17,Greg Steube,Allen Ellison,Republican,Democratic,62.3%,37.7%
FL-18,Brian Mast,Lauren Baer,Republican,Democratic,54.3%,45.7%
FL-19,Francis Rooney,David Holden,Republican,Democratic,62.3%,37.7%
FL-02,Neal Dunn,Bob Rackleff,Republican,Democratic,67.4%,32.6%
FL-20,Alcee Hastings,Jay Bonner (write-in),Democratic,Independent,99.9%,0.1%
FL-21,Ted Deutch,Jeff Fandle,Democratic,Democratic,86.5%,13.5%
FL-22,Ted Deutch,Nicolas Kimaz,Democratic,Republican,62.0%,38.0%
FL-23,Debbie Wasserman Schultz,Joe Kaufman,Democratic,Republican,58.5%,36.0%
FL-24,Mario Diaz-Balart,Mary Barzee Flores,Republican,Democratic,60.4%,39.6%
FL-25,Mario Diaz-Balart,Mary Barzee Flores,Republican,Democratic,60.4%,39.6%
FL-26,Debbie Mucarsel-Powell,Carlos Curbelo,Democratic,Republican,50.9%,49.1%
FL-27,Donna Shalala,Maria Elvira Salazar,Democratic,Republican,51.8%,45.8%
FL-03,Ted Yoho,Yvonne Hayes Hinson,Republican,Democratic,57.6%,42.4%
FL-04,John Rutherford,Ges Selmont,Republican,Democratic,65.2%,32.3%
FL-05,Al Lawson,Virginia Fuller,Democratic,Republican,66.8%,33.2%
FL-06,Michael Waltz,Nancy Soderberg,Republican,Democratic,56.3%,43.7%
FL-07,Stephanie Murphy,Mike Miller,Democratic,Republican,57.7%,42.3%
FL-08,Bill Posey,Sanjay Patel,Republican,Democratic,60.5%,39.5%
FL-09,Darren Soto,Wayne Liebnitzky,Democratic,Republican,58.0%,42.0%
