,candidate1,candidate2,party1,party2,share1,share2
GA-01,Buddy Carter,Lisa Ring,Republican,Democratic,57.7,42.3
GA-10,Jody Hice,Tabitha Johnson-Green,Republican,Democratic,62.9,37.1
GA-11,Barry Loudermilk,Flynn Broady,Republican,Democratic,61.8,38.2
GA-12,Rick W. Allen,Francys Johnson,Republican,Democratic,59.5,40.5
GA-13,David Scott,David Callahan,Democratic,Republican,76.2,23.8
GA-14,Tom Graves,Steven Lamar Foster,Republican,Democratic,76.5,23.5
GA-02,Sanford Bishop,Herman West,Democratic,Republican,59.7,40.3
GA-03,Drew Ferguson,Chuck Enderlin,Republican,Democratic,65.5,34.5
GA-04,Hank Johnson,Joe Profit,Democratic,Republican,78.9,21.1
GA-05,John Lewis,"275,406",Democratic,Total votes,100.0,100.0
GA-06,Lucy McBath,Karen Handel,Democratic,Republican,50.5,49.5
GA-07,Rob Woodall,Carolyn Bourdeaux,Republican,Democratic,50.075,49.925
GA-08,Austin Scott,Jimmy Cooper (write-in),Republican,Green,99.7,0.3
GA-09,Doug Collins,Josh McCall,Republican,Democratic,79.5,20.5
