,candidate1,candidate2,party1,party2,share1,share2
IL-01,Bobby Rush,"Jimmy Lee Tillman, II",Democratic,Republican,73.5,19.8
IL-10,Brad Schneider,Douglas Bennett,Democratic,Republican,65.6,34.4
IL-11,Bill Foster,Nick Stella,Democratic,Republican,63.8,36.2
IL-12,Mike Bost,Brendan Kelly,Republican,Democratic,51.6,45.4
IL-13,Rodney Davis,Betsy Dirksen Londrigan,Republican,Democratic,50.4,49.6
IL-14,Lauren Underwood,Randy Hultgren,Democratic,Republican,52.5,47.5
IL-15,John Shimkus,Kevin Gaither,Republican,Democratic,70.9,29.1
IL-16,Adam Kinzinger,Sara Dady,Republican,Democratic,59.1,40.9
IL-17,Cheri Bustos,Bill Fawell,Democratic,Republican,62.1,37.9
IL-18,Darin LaHood,Junius Rodriguez,Republican,Democratic,67.2,32.8
IL-02,Robin Kelly,David Merkle,Democratic,Republican,81.1,18.9
IL-03,Dan Lipinski,Arthur Jones,Democratic,Republican,73.0,25.9
IL-04,"Jesús ""Chuy"" García",Mark Lorch,Democratic,Republican,86.6,13.4
IL-05,Mike Quigley,Tom Hanson,Democratic,Republican,76.7,23.3
IL-06,Sean Casten,Peter Roskam,Democratic,Republican,53.6,46.4
IL-07,Danny K. Davis,Craig Cameron,Democratic,Republican,87.6,12.4
IL-08,Raja Krishnamoorthi,"Jitendra ""JD"" Diganvker",Democratic,Republican,66.0,34.0
IL-09,Jan Schakowsky,John Elleson,Democratic,Republican,73.5,26.5
