,candidate1,candidate2,party1,party2,share1,share2
NJ-01,Donald Norcross,Paul E. Dilks,Democratic,Republican,64.4,33.3
NJ-10,Donald M. Payne Jr.,Agha Khan,Democratic,Republican,87.6,10.1
NJ-11,Mikie Sherrill,Jay Webber,Democratic,Republican,56.8,42.1
NJ-12,Bonnie Watson Coleman,Daryl Kipnis,Democratic,Republican,68.7,31.3
NJ-02,Jeff Van Drew,Seth Grossman,Democratic,Republican,52.9,45.2
NJ-03,Andy Kim,Tom MacArthur,Democratic,Republican,50.0,48.7
NJ-04,Christopher H. Smith,Joshua Welle,Republican,Democratic,55.4,43.1
NJ-05,Josh Gottheimer,John J. McCann,Democratic,Republican,56.2,42.5
NJ-06,Frank Pallone Jr.,Richard J. Pezzullo,Democratic,Republican,63.6,36.4
NJ-07,Tom Malinowski,Leonard Lance,Democratic,Republican,51.7,46.7
NJ-08,Albio Sires,John R. Muniz,Democratic,Republican,78.1,18.7
NJ-09,Bill Pascrell Jr.,Eric P. Fisher,Democratic,Republican,70.3,28.9
