,candidate1,candidate2,party1,party2,share1,share2
OH-01,Steve Chabot,Aftab Pureval,Republican,Democratic,51.3%,46.9%
OH-10,Mike Turner,Theresa Gasper,Republican,Democratic,55.9%,42.2%
OH-11,Marcia Fudge,Beverly A. Goldstein,Democratic,Republican,82.2%,17.8%
OH-13,Tim Ryan,Chris DePizzo,Democratic,Republican,61.0%,39.0%
OH-14,David Joyce,Betsy Rader,Republican,Democratic,55.2%,44.6%
OH-15,Steve Stivers,Rick Neal,Republican,Democratic,58.3%,39.7%
OH-16,Anthony Gonzalez,Susan Moran Palmer,Republican,Democratic,56.7%,43.3%
OH-02,Brad Wenstrup,Jill Schiller,Republican,Democratic,57.6%,41.2%
OH-03,Joyce Beatty,Jim Burgess,Democratic,Republican,73.6%,26.4%
OH-04,Jim Jordan,Janet Garrett,Republican,Democratic,65.3%,34.7%
OH-05,Bob Latta,J. Michael Galbraith,Republican,Democratic,62.3%,35.1%
OH-06,Bill Johnson,Shawna Roberts,Republican,Democratic,69.2%,30.8%
OH-07,Bob Gibbs,Ken Harbaugh,Republican,Democratic,58.7%,41.3%
OH-08,Warren Davidson,Vanessa Enoch,Republican,Democratic,66.6%,33.4%
OH-09,Marcy Kaptur,Steve Kraus,Democratic,Republican,67.8%,32.2%
