,city,clean_text,county,created_at,id,lat,lng,route,st_num,state_abbv,zipcode
0,Jersey City,Hey they re definitely going to need you today 111 Bright Street in JC,Hudson County,Tue Nov 06 13:13:36 +0000 2018,1059795939370639361,40.7176619,-74.0509223,Bright Street,111,NJ,07302
0,Minneapolis,3120 Washburn ave Minneapolis Mn,Hennepin County,Tue Nov 06 13:08:08 +0000 2018,1059794562317729793,45.0128527,-93.3169213,Washburn Avenue North,3120,MN,55411
0,Chicago,RT oh 5110 N Damen Ave Chicago IL 60625 USA s hungry via,Cook County,Tue Nov 06 14:59:26 +0000 2018,1059822571867168769,41.9750696,-87.6800719,North Damen Avenue,5110,IL,60625
0,Smyrna,RT damn daniel daMn dAniel BACK AT IT AGAIN with those long lines at 3295 Atlanta Rd SE Smyrna GA 30080 USA via h,Cobb County,Tue Nov 06 14:59:18 +0000 2018,1059822537717178368,33.8729594,-84.4980115,Atlanta Road Southeast,3295,GA,30080
0,Chicago,RT oh 5110 N Damen Ave Chicago IL 60625 USA s hungry via,Cook County,Tue Nov 06 14:59:14 +0000 2018,1059822522638786560,41.9750696,-87.6800719,North Damen Avenue,5110,IL,60625
0,New York,RT Got a report of a line at 163 W 97th St New York NY 10025 USA via,New York County,Tue Nov 06 14:58:34 +0000 2018,1059822354820415488,40.7945776,-73.9688406,West 97th Street,163,NY,10025
0,Chicago,RT oh 5110 N Damen Ave Chicago IL 60625 USA s hungry via,Cook County,Tue Nov 06 14:58:16 +0000 2018,1059822277796212736,41.9750696,-87.6800719,North Damen Avenue,5110,IL,60625
0,New York,RT Got a report of a line at 163 W 97th St New York NY 10025 USA via,New York County,Tue Nov 06 14:57:57 +0000 2018,1059822201069805568,40.7945776,-73.9688406,West 97th Street,163,NY,10025
0,New York,RT Got a report of a line at 163 W 97th St New York NY 10025 USA via,New York County,Tue Nov 06 14:54:57 +0000 2018,1059821445000380417,40.7945776,-73.9688406,West 97th Street,163,NY,10025
0,New York,RT Got a report of a line at 163 W 97th St New York NY 10025 USA via,New York County,Tue Nov 06 14:53:57 +0000 2018,1059821191697969154,40.7945776,-73.9688406,West 97th Street,163,NY,10025
0,New York,RT Got a report of a line at 163 W 97th St New York NY 10025 USA via,New York County,Tue Nov 06 14:52:53 +0000 2018,1059820924696969216,40.7945776,-73.9688406,West 97th Street,163,NY,10025
0,New York,RT Got a report of a line at 163 W 97th St New York NY 10025 USA via,New York County,Tue Nov 06 14:52:33 +0000 2018,1059820839829430278,40.7945776,-73.9688406,West 97th Street,163,NY,10025
0,New York,RT Got a report of a line at 163 W 97th St New York NY 10025 USA via,New York County,Tue Nov 06 14:51:01 +0000 2018,1059820455383597056,40.7945776,-73.9688406,West 97th Street,163,NY,10025
0,New York,RT Got a report of a line at 163 W 97th St New York NY 10025 USA via,New York County,Tue Nov 06 14:48:55 +0000 2018,1059819924510662656,40.7945776,-73.9688406,West 97th Street,163,NY,10025
0,Charleston,RT gt psst look at this polling place at it 1776 William Kennerty Dr Charleston SC 29407 USA,Charleston County,Tue Nov 06 15:53:23 +0000 2018,1059836147721998336,32.8131782,-80.0258065,William Kennerty Drive,1776,SC,29407
0,,And if I may espanol 1 888 Ve Y Vota Arabic 1 844 Yalla US most Asian languages 1 888 API VOTE,,Tue Nov 06 15:51:41 +0000 2018,1059835723069575169,,,,,,
0,Snellville,RT oh 4521 Centerville Hwy Snellville GA 30039 USA s hungry via,Gwinnett County,Tue Nov 06 15:51:01 +0000 2018,1059835554072801282,33.7755485,-84.0499465,Centerville Highway,4521,GA,30039
0,New York,RT Got a report of a line at 163 W 97th St New York NY 10025 USA via,New York County,Tue Nov 06 15:50:31 +0000 2018,1059835429887844355,40.7945776,-73.9688406,West 97th Street,163,NY,10025
0,Brooklyn,RT Investigating reports at 750 Classon Ave Brooklyn NY 11238 USA via,Kings County,Tue Nov 06 15:49:33 +0000 2018,1059835186005843968,40.6745299,-73.9609174,Classon Avenue,750,NY,11238
0,Brooklyn,RT Investigating reports at 750 Classon Ave Brooklyn NY 11238 USA via,Kings County,Tue Nov 06 15:46:59 +0000 2018,1059834536807329792,40.6745299,-73.9609174,Classon Avenue,750,NY,11238
0,Charleston,RT gt psst look at this polling place at it 1776 William Kennerty Dr Charleston SC 29407 USA,Charleston County,Tue Nov 06 15:41:01 +0000 2018,1059833037737938944,32.8131782,-80.0258065,William Kennerty Drive,1776,SC,29407
0,Knoxville,RT Investigating reports at 709 N Cedar Bluff Rd Knoxville TN 37923 USA via,Knox County,Tue Nov 06 15:34:36 +0000 2018,1059831421655830530,35.9336355,-84.0957868,North Cedar Bluff Road,709,TN,37923
0,Knoxville,RT Investigating reports at 709 N Cedar Bluff Rd Knoxville TN 37923 USA via,Knox County,Tue Nov 06 15:34:26 +0000 2018,1059831381059125251,35.9336355,-84.0957868,North Cedar Bluff Road,709,TN,37923
0,Charleston,RT gt psst look at this polling place at it 1776 William Kennerty Dr Charleston SC 29407 USA,Charleston County,Tue Nov 06 15:34:12 +0000 2018,1059831323043512322,32.8131782,-80.0258065,William Kennerty Drive,1776,SC,29407
0,Knoxville,RT Investigating reports at 709 N Cedar Bluff Rd Knoxville TN 37923 USA via,Knox County,Tue Nov 06 15:32:37 +0000 2018,1059830924244746241,35.9336355,-84.0957868,North Cedar Bluff Road,709,TN,37923
0,Chicago,RT oh 5110 N Damen Ave Chicago IL 60625 USA s hungry via,Cook County,Tue Nov 06 15:32:25 +0000 2018,1059830874093568005,41.9750696,-87.6800719,North Damen Avenue,5110,IL,60625
0,Greenville,RT Investigating reports at 875 State Park Rd Greenville SC 29609 USA via,Greenville County,Tue Nov 06 15:30:45 +0000 2018,1059830454684049408,34.8981065,-82.3962810,State Park Road,875,SC,29609
0,Snellville,RT oh 4521 Centerville Hwy Snellville GA 30039 USA s hungry via,Gwinnett County,Tue Nov 06 15:30:23 +0000 2018,1059830360190713856,33.7755485,-84.0499465,Centerville Highway,4521,GA,30039
0,Snellville,RT oh 4521 Centerville Hwy Snellville GA 30039 USA s hungry via,Gwinnett County,Tue Nov 06 15:29:49 +0000 2018,1059830219396276226,33.7755485,-84.0499465,Centerville Highway,4521,GA,30039
0,Greenville,RT Investigating reports at 875 State Park Rd Greenville SC 29609 USA via,Greenville County,Tue Nov 06 15:26:44 +0000 2018,1059829442355322881,34.8981065,-82.3962810,State Park Road,875,SC,29609
0,Charleston,1776 Willam Kennerty Dr in West Ashley SC Line is wrapped around the building No parking either,Charleston County,Tue Nov 06 15:26:27 +0000 2018,1059829372469854208,32.8131782,-80.0258065,William Kennerty Drive,1776,SC,29407
0,Smyrna,RT damn daniel daMn dAniel BACK AT IT AGAIN with those long lines at 3295 Atlanta Rd SE Smyrna GA 30080 USA via h,Cobb County,Tue Nov 06 15:24:44 +0000 2018,1059828939831439360,33.8729594,-84.4980115,Atlanta Road Southeast,3295,GA,30080
0,Brooklyn,911 Flatbush Ave Brooklyn NY 11226,Kings County,Tue Nov 06 15:23:57 +0000 2018,1059828743261294593,40.6493035,-73.9577490,Flatbush Avenue,911,NY,11226
0,New York,RT Got a report of a line at 163 W 97th St New York NY 10025 USA via,New York County,Tue Nov 06 15:17:19 +0000 2018,1059827074276491265,40.7945776,-73.9688406,West 97th Street,163,NY,10025
0,Chicago,RT Word on the street is there s a line at 7340 N Rogers Ave Chicago IL 60626 USA via,Cook County,Tue Nov 06 15:17:04 +0000 2018,1059827010443337729,42.0151063,-87.6780744,North Rogers Avenue,7340,IL,60626
0,Evanston,RT Hearing about a line at 2100 Ridge Ave Evanston IL 60201 USA via,Cook County,Tue Nov 06 15:16:33 +0000 2018,1059826878452826112,42.0567327,-87.6871578,Ridge Avenue,2100,IL,60201
0,Chicago,RT Got a report of a line at 2333 W Sunnyside Ave Chicago IL 60625 USA via,Cook County,Tue Nov 06 15:15:56 +0000 2018,1059826726497382400,41.9628085,-87.6863871,West Sunnyside Avenue,2333,IL,60625
0,Chicago,RT Hearing about a line at 175 W Washington St Chicago IL 60602 USA via,Cook County,Tue Nov 06 15:15:32 +0000 2018,1059826625624371204,41.8830552,-87.6333294,West Washington Street,175,IL,60602
0,Evanston,RT Hearing about a line at 2100 Ridge Ave Evanston IL 60201 USA via,Cook County,Tue Nov 06 15:15:06 +0000 2018,1059826516773736450,42.0567327,-87.6871578,Ridge Avenue,2100,IL,60201
0,Chicago,RT Hearing about a line at 7340 N Rogers Ave Chicago IL 60626 USA via,Cook County,Tue Nov 06 15:14:47 +0000 2018,1059826435240681472,42.0158615,-87.6775959,North Rogers Avenue,7340,IL,60626
0,New York,RT Got a report of a line at 163 W 97th St New York NY 10025 USA via,New York County,Tue Nov 06 15:12:14 +0000 2018,1059825793717682181,40.7945776,-73.9688406,West 97th Street,163,NY,10025
0,Chicago,RT oh 5110 N Damen Ave Chicago IL 60625 USA s hungry via,Cook County,Tue Nov 06 15:12:00 +0000 2018,1059825735354015745,41.9750696,-87.6800719,North Damen Avenue,5110,IL,60625
0,Smyrna,RT damn daniel daMn dAniel BACK AT IT AGAIN with those long lines at 3295 Atlanta Rd SE Smyrna GA 30080 USA via h,Cobb County,Tue Nov 06 15:11:55 +0000 2018,1059825714818629632,33.8729594,-84.4980115,Atlanta Road Southeast,3295,GA,30080
0,Smyrna,RT damn daniel daMn dAniel BACK AT IT AGAIN with those long lines at 3295 Atlanta Rd SE Smyrna GA 30080 USA via h,Cobb County,Tue Nov 06 15:09:25 +0000 2018,1059825086704877568,33.8729594,-84.4980115,Atlanta Road Southeast,3295,GA,30080
0,New York,RT Got a report of a line at 163 W 97th St New York NY 10025 USA via,New York County,Tue Nov 06 15:08:58 +0000 2018,1059824973605453825,40.7945776,-73.9688406,West 97th Street,163,NY,10025
0,Chicago,RT oh 5110 N Damen Ave Chicago IL 60625 USA s hungry via,Cook County,Tue Nov 06 15:08:37 +0000 2018,1059824882287108097,41.9750696,-87.6800719,North Damen Avenue,5110,IL,60625
0,Smyrna,RT damn daniel daMn dAniel BACK AT IT AGAIN with those long lines at 3295 Atlanta Rd SE Smyrna GA 30080 USA via h,Cobb County,Tue Nov 06 15:08:25 +0000 2018,1059824834417491971,33.8729594,-84.4980115,Atlanta Road Southeast,3295,GA,30080
0,Smyrna,RT damn daniel daMn dAniel BACK AT IT AGAIN with those long lines at 3295 Atlanta Rd SE Smyrna GA 30080 USA via h,Cobb County,Tue Nov 06 15:07:02 +0000 2018,1059824485245898760,33.8729594,-84.4980115,Atlanta Road Southeast,3295,GA,30080
0,Smyrna,RT damn daniel daMn dAniel BACK AT IT AGAIN with those long lines at 3295 Atlanta Rd SE Smyrna GA 30080 USA via h,Cobb County,Tue Nov 06 15:06:07 +0000 2018,1059824254957568000,33.8729594,-84.4980115,Atlanta Road Southeast,3295,GA,30080
0,Smyrna,RT damn daniel daMn dAniel BACK AT IT AGAIN with those long lines at 3295 Atlanta Rd SE Smyrna GA 30080 USA via h,Cobb County,Tue Nov 06 15:05:37 +0000 2018,1059824128843231232,33.8729594,-84.4980115,Atlanta Road Southeast,3295,GA,30080
0,Snellville,RT gt psst look at this polling place at it 4521 Centerville Hwy Snellville GA 30039 USA,Gwinnett County,Tue Nov 06 16:57:26 +0000 2018,1059852269296902144,33.7755485,-84.0499465,Centerville Highway,4521,GA,30039
0,Snellville,RT gt psst look at this polling place at it 4521 Centerville Hwy Snellville GA 30039 USA,Gwinnett County,Tue Nov 06 16:56:32 +0000 2018,1059852040837492736,33.7755485,-84.0499465,Centerville Highway,4521,GA,30039
0,Snellville,RT gt psst look at this polling place at it 4521 Centerville Hwy Snellville GA 30039 USA,Gwinnett County,Tue Nov 06 16:54:26 +0000 2018,1059851512350994432,33.7755485,-84.0499465,Centerville Highway,4521,GA,30039
0,Snellville,RT gt psst look at this polling place at it 4521 Centerville Hwy Snellville GA 30039 USA,Gwinnett County,Tue Nov 06 16:54:18 +0000 2018,1059851480709128193,33.7755485,-84.0499465,Centerville Highway,4521,GA,30039
0,Snellville,RT gt psst look at this polling place at it 4521 Centerville Hwy Snellville GA 30039 USA,Gwinnett County,Tue Nov 06 16:54:00 +0000 2018,1059851405098287104,33.7755485,-84.0499465,Centerville Highway,4521,GA,30039
0,Snellville,RT gt psst look at this polling place at it 4521 Centerville Hwy Snellville GA 30039 USA,Gwinnett County,Tue Nov 06 16:52:57 +0000 2018,1059851139884244992,33.7755485,-84.0499465,Centerville Highway,4521,GA,30039
0,Philadelphia,RT Checking our list twice but we hear lines aren t nice at 1599 Wharton St Philadelphia PA 19146 USA,Philadelphia County,Tue Nov 06 16:50:53 +0000 2018,1059850619958132736,39.9349556,-75.1703617,Wharton Street,1599,PA,19146
0,New York,Hey friends Wanna send something over We re at PS 173 in NYC 306 Fort Washington Ave This was,New York County,Tue Nov 06 16:49:31 +0000 2018,1059850276499263488,40.8455620,-73.9400804,Fort Washington Avenue,306,NY,10032
0,Chicago,BLUEBIRD LANES 3900 WCOLUMBUS AVE Chicago IL 60652 Thank You Pizza for hard working election jud,Cook County,Tue Nov 06 16:49:07 +0000 2018,1059850174502264832,41.7372080,-87.7197520,West Columbus Avenue,3900,IL,60652
0,Atlanta,RT Pizza FOR 2295 Marietta Rd NW Atlanta GA 30318 USA,Fulton County,Tue Nov 06 16:40:54 +0000 2018,1059848105636425728,33.8183628,-84.4606284,Marietta Road Northwest,2295,GA,30318
0,Snellville,RT gt psst look at this polling place at it 4521 Centerville Hwy Snellville GA 30039 USA,Gwinnett County,Tue Nov 06 16:40:26 +0000 2018,1059847990796541952,33.7755485,-84.0499465,Centerville Highway,4521,GA,30039
0,Atlanta,RT Pizza FOR 2295 Marietta Rd NW Atlanta GA 30318 USA,Fulton County,Tue Nov 06 16:39:28 +0000 2018,1059847745354133505,33.8183628,-84.4606284,Marietta Road Northwest,2295,GA,30318
0,Atlanta,RT Pizza FOR 2295 Marietta Rd NW Atlanta GA 30318 USA,Fulton County,Tue Nov 06 16:36:15 +0000 2018,1059846938525421568,33.8183628,-84.4606284,Marietta Road Northwest,2295,GA,30318
0,Atlanta,RT Pizza FOR 2295 Marietta Rd NW Atlanta GA 30318 USA,Fulton County,Tue Nov 06 16:35:33 +0000 2018,1059846760393252864,33.8183628,-84.4606284,Marietta Road Northwest,2295,GA,30318
0,Naples,RT Word on the street is there s a line at 1515 Golden Gate Pkwy Naples FL 34105 USA via,Collier County,Tue Nov 06 16:33:51 +0000 2018,1059846333505257472,26.1747030,-81.7874370,Golden Gate Parkway,1515,FL,34105
0,Naples,RT Word on the street is there s a line at 1515 Golden Gate Pkwy Naples FL 34105 USA via,Collier County,Tue Nov 06 16:32:45 +0000 2018,1059846057146941442,26.1747030,-81.7874370,Golden Gate Parkway,1515,FL,34105
0,Mount Pleasant,long line at East Cooper Montessori 1120 Rifle Range Road Mt Pleasant SC 29464 wrapping around the,Charleston County,Tue Nov 06 16:30:30 +0000 2018,1059845489888243713,32.7972770,-79.8530517,Rifle Range Road,1120,SC,29464
0,Columbia,RT oh 3300 Rosewood Dr Columbia SC 29205 USA s hungry via,Richland County,Tue Nov 06 16:29:57 +0000 2018,1059845353527230466,33.9871846,-80.9955127,Rosewood Drive,3300,SC,29205
0,Pittsburgh,5801 Forbes Avenue,Allegheny County,Tue Nov 06 16:29:21 +0000 2018,1059845201362071558,40.4384414,-79.9227826,Forbes Avenue,5801,PA,15217
0,Columbia,RT oh 3300 Rosewood Dr Columbia SC 29205 USA s hungry via,Richland County,Tue Nov 06 16:27:27 +0000 2018,1059844722246725632,33.9871846,-80.9955127,Rosewood Drive,3300,SC,29205
0,Greenville,RT Pizza FOR 1500 Fork Shoals Rd Greenville SC 29605 USA,Greenville County,Tue Nov 06 16:27:09 +0000 2018,1059844648892592129,34.7403387,-82.3532418,Fork Shoals Road,1500,SC,29605
0,Greenville,RT Pizza FOR 1500 Fork Shoals Rd Greenville SC 29605 USA,Greenville County,Tue Nov 06 16:26:46 +0000 2018,1059844550498369536,34.7403387,-82.3532418,Fork Shoals Road,1500,SC,29605
0,New York,RT Got a report of a line at 163 W 97th St New York NY 10025 USA via,New York County,Tue Nov 06 16:25:45 +0000 2018,1059844294654201857,40.7945776,-73.9688406,West 97th Street,163,NY,10025
0,New York,need at 100 Amsterdam Ave in NYC,New York County,Tue Nov 06 16:23:50 +0000 2018,1059843812527345665,40.7741328,-73.9858036,Amsterdam Avenue,100,NY,10023
0,Chicago,RT oh 5110 N Damen Ave Chicago IL 60625 USA s hungry via,Cook County,Tue Nov 06 16:23:12 +0000 2018,1059843654490251267,41.9750696,-87.6800719,North Damen Avenue,5110,IL,60625
0,Knoxville,RT Investigating reports at 709 N Cedar Bluff Rd Knoxville TN 37923 USA via,Knox County,Tue Nov 06 16:13:01 +0000 2018,1059841091820638208,35.9336355,-84.0957868,North Cedar Bluff Road,709,TN,37923
0,Chicago,520 N Kingsbury St Chicago IL Line wraps around inside Based on my experience people at the en,Cook County,Tue Nov 06 16:01:53 +0000 2018,1059838287278469123,41.8909088,-87.6399802,North Kingsbury Street,520,IL,60654
0,Charleston,Charleston district 17 18 1002 King Street 2 hour wait,Charleston County,Tue Nov 06 16:01:34 +0000 2018,1059838209532850178,32.7930502,-79.9410693,King Street,560,SC,29403
