,candidate1,candidate2,party1,party2,share1,share2
TX-01,Louie Gohmert,Shirley McKellar,Republican,Democratic,72.3,26.3
TX-10,Michael McCaul,Mike Siegel,Republican,Democratic,51.1,46.8
TX-11,Mike Conaway,Jennie Lou Leeder,Republican,Democratic,80.1,18.5
TX-12,Kay Granger,Vanessa Adia,Republican,Democratic,64.3,33.9
TX-13,Mac Thornberry,Greg Sagan,Republican,Democratic,81.6,16.9
TX-14,Randy Weber,Adrienne Bell,Republican,Democratic,59.2,39.3
TX-15,Vicente González,Tim Westley,Democratic,Republican,59.7,38.7
TX-16,Veronica Escobar,Rick Seeberger,Democratic,Republican,68.5,27.0
TX-17,Bill Flores,Rick Kennedy,Republican,Democratic,56.8,41.3
TX-18,Sheila Jackson Lee,Ava Reynero Pate,Democratic,Republican,75.3,20.8
TX-19,Jodey Arrington,Miguel Levario,Republican,Democratic,75.2,24.8
TX-02,Dan Crenshaw,Todd Litton,Republican,Democratic,52.8,45.6
TX-20,Joaquín Castro,Jeffrey Blunt,Democratic,Libertarian,80.9,19.1
TX-21,Chip Roy,Joseph Kopser,Republican,Democratic,50.3,47.6
TX-22,Pete Olson,Sri Preston Kulkarni,Republican,Democratic,51.4,46.4
TX-23,Will Hurd,Gina Ortiz Jones,Republican,Democratic,49.2,48.7
TX-24,Kenny Marchant,Jan McDowell,Republican,Democratic,50.6,47.5
TX-25,Roger Williams,Julie Oliver,Republican,Democratic,53.5,44.8
TX-26,Michael C. Burgess,Linsey Fagan,Republican,Democratic,59.4,39.0
TX-28,Henry Cuellar,Arthur Thomas IV,Democratic,Libertarian,84.4,15.6
TX-29,Sylvia Garcia,Phillip Aronoff,Democratic,Republican,75.1,23.9
TX-03,Van Taylor,Lorie Burch,Republican,Democratic,54.2,44.2
TX-30,Eddie Bernice Johnson,Shawn Jones,Democratic,Libertarian,91.1,8.9
TX-31,John Carter,MJ Hegar,Republican,Democratic,50.6,47.7
TX-32,Colin Allred,Pete Sessions,Democratic,Republican,52.3,45.7
TX-33,Marc Veasey,Willie Billups,Democratic,Republican,76.2,21.9
TX-34,Filemon Vela Jr.,Rey Gonzalez,Democratic,Republican,60.0,40.0
TX-35,Lloyd Doggett,David Smalling,Democratic,Republican,71.3,26.0
TX-36,Brian Babin,Dayna Steele,Republican,Democratic,72.6,27.4
TX-04,John Ratcliffe,Catherine Krantz,Republican,Democratic,75.7,23.0
TX-05,Lance Gooden,Dan Wood,Republican,Democratic,62.3,37.6
TX-06,Ron Wright,Jana Lynne Sanchez,Republican,Democratic,53.1,44.4
TX-07,Lizzie Pannill Fletcher,John Culberson,Democratic,Republican,52.5,47.5
TX-08,Kevin Brady,Steven David,Republican,Democratic,73.4,24.9
TX-09,Al Green,Phil Kurtz,Democratic,Libertarian,89.1,3.9
