,candidate1,candidate2,party1,party2,share1,share2
VA-01,Rob Wittman,Vangie Williams,Republican,Democratic,55.2%,44.7%
VA-10,Jennifer Wexton,Barbara Comstock,Democratic,Republican,56.1%,43.7%
VA-11,Gerry Connolly,Jeff Dove,Democratic,Republican,71.1%,26.9%
VA-02,Elaine Luria,Scott Taylor,Democratic,Republican,51.1%,48.8%
VA-03,Bobby Scott,Write-ins,Democratic,n/a,91.2%,8.8%
VA-04,Donald McEachin,Ryan McAdams,Democratic,Republican,62.6%,35.9%
VA-05,Denver Riggleman,Leslie Cockburn,Republican,Democratic,53.2%,46.6%
VA-06,Ben Cline,Jennifer Lewis,Republican,Democratic,59.7%,40.2%
VA-07,Abigail Spanberger,Dave Brat,Democratic,Republican,50.3%,48.4%
VA-08,Don Beyer,Thomas Oh,Democratic,Republican,76.1%,23.7%
VA-09,Morgan Griffith,Anthony Flaccavento,Republican,Democratic,65.2%,34.7%
