,candidate1,candidate2,party1,party2,share1,share2
WA-01,Suzan DelBene,Jeffrey Beeler,Democratic,Republican,59.3%,40.7%
WA-10,Denny Heck,Joseph Brumbles,Democratic,Republican,61.5%,38.5%
WA-02,Rick Larsen,Brian Luke,Democratic,Libertarian,71.3%,28.7%
WA-03,Jaime Herrera Beutler,Carolyn Long,Republican,Democratic,52.7%,47.3%
WA-04,Dan Newhouse,Christine Brown,Republican,Democratic,62.8%,37.2%
WA-05,Cathy McMorris Rodgers,Lisa Brown,Republican,Democratic,54.8%,45.2%
WA-06,Derek Kilmer,Douglas Dightman,Democratic,Republican,63.9%,36.1%
WA-07,Pramila Jayapal,Craig Keller,Democratic,Republican,83.6%,16.4%
WA-08,Kim Schrier,Dino Rossi,Democratic,Republican,52.4%,47.6%
WA-09,Adam Smith,Sarah Smith,Democratic,Democratic,67.9%,32.1%
