,id,name,location,description,verified,created_at,url,n_followers
0,17419814,Erin,"California, USA",,False,Sun Nov 16 06:58:17 +0000 2008,,79
1,1012141178253344768,TexasFeministTrust,"Texas, USA","Feminism: the theory of the political, economic, and social equality of the sexes   #TrustWomen",False,Thu Jun 28 01:10:36 +0000 2018,,569
2,2828963922,Western Native Voice,Indian Country,Inspiring #Native #Leadership So Our Communities Flourish! #NativeVoicesRising,False,Wed Sep 24 00:34:04 +0000 2014,https://t.co/sW1gzzZRJx,832
3,2294811674,iVote,,iVote is dedicated to the powerful notion that every eligible citizen should be able to vote. What if everyone voted? #votingrights,True,Thu Jan 16 18:01:55 +0000 2014,https://t.co/W0s6V1Kh34,11606
4,866727731144282112,Montana Native Vote,Indian Country,#mtpol #specialelection #nativevote,False,Mon May 22 18:49:28 +0000 2017,,267
5,2815822082,New Georgia Project,"Atlanta, GA","Registering, engaging & advocating w/ the Rising American Electorate through tech, gaming, & pop culture

For press inquiries contact info@newgeorgiaproject.org",False,Wed Sep 17 23:11:33 +0000 2014,https://t.co/CzpQg89nf3,3729
6,1006419421244678144,Greta Thunberg,Sverige,17 year old climate and environmental activist with Asperger’s #climatestrike #fridaysforfuture,True,Tue Jun 12 06:14:23 +0000 2018,https://t.co/T59gBserXD,3963252
7,713103308,Chicago Votes Action Fund,"Chicago, IL",Policy advocates. Run by young people. Who listen to trap music & change the world. #UnlockCivics #CCJVotes #ParadeToThePolls #DemocracyCorps #GiveAShitChicago,False,Mon Jul 23 20:57:29 +0000 2012,https://t.co/Hag1QqQgS0,4468
8,806659536874602497,CivicTN,,,False,Thu Dec 08 00:39:55 +0000 2016,,36
9,873351734646591489,MsMissy,,,False,Sat Jun 10 01:30:54 +0000 2017,,510
10,820664923231555584,Indivisible Madison,"Madison, WI","Resist, reform, elect. Check out our Facebook page (WeAreIndivisibleMadison) and our FB group (MadisonIAH) for more actions.",False,Sun Jan 15 16:12:19 +0000 2017,https://t.co/qFaAdJ1Xok,5381
11,44476956,Ian's Pizza Madison,"Madison, WI",Where it all began. Here to help... one slice at a time. 3 locations - 100 State Street | 319 N Frances Street | 3241 Garver Green Suite 121,False,Wed Jun 03 22:34:26 +0000 2009,https://t.co/bOMj7gTERa,8017
12,1256120371,Democracy Sausage,Australia,Mappers of #democracysausage locations. It's practically part of the Australian Constitution. Or something.,False,Sun Mar 10 04:50:23 +0000 2013,https://t.co/9G6Z8S8EKf,2421
13,319320598,ELGL 🎉,Worldwide,Engaging Local Government Leaders @govlovepodcast ❤️ #LocalGov #13Percent #CityHallSelfie #ELGLPopUps #ELGL20 #NDOSC #ELGLRoadTrip #ELGLInspire #ELGLTraeger,False,Fri Jun 17 22:46:59 +0000 2011,https://t.co/Q9j8gQau2K,11654
14,2895440583,GovLove 🎙,City Hall,"A podcast about local government, brought to you by @ELGL50. #GovLove #LocalGov",False,Fri Nov 28 02:51:02 +0000 2014,https://t.co/3QEn1n2SWt,3700
15,2384084935,Access Democracy,"Washington, DC","Project of @civilrightsorg's sister org. Partner of @votingislocal. Data-driven advocacy & organizing, to protect the right -- and the ability -- to vote.",False,Tue Mar 11 18:55:05 +0000 2014,https://t.co/wS1SOu9tGg,863
16,72639760,140art,,"═╩═╦═╩▒▒┌╥╥┐▒▒═╦═╩═╦⋕Եժ
═╦═╩═▒▒╔╡██╞╝▒▒╩═╦═╩═╦═
═╩═╦═╩▒▒└╥╥┘▒▒═╦═╩═╦═╩═
═╦═╩═╦═▒▒╝╚▒▒══╩═╦═╩═╦═",False,Tue Sep 08 19:18:34 +0000 2009,http://t.co/9sCwacfDYc,8959
