,candidate1,candidate2,party1,party2,share1,share2,district,name_woman1,party_woman1,result_woman1,state,status_woman1,name_woman2,party_woman2,result_woman2,status_woman2
0,Bradley Byrne,Robert Kennedy Jr.,Republican,Democratic,63.1,36.8,AL-01,,,,,,,,,
1,Martha Roby,Tabitha Isner,Republican,Democratic,61.4,38.4,AL-02,Martha Roby,Republican,WON,AL,I,Tabitha Kay Isner,Democratic,Lost,C
2,Mike Rogers,Mallory Hagan,Republican,Democratic,63.7,36.2,AL-03,Mallory Hytes Hagan,Democratic,Lost,AL,C,,,,
3,Robert Aderholt,Lee Auman,Republican,Democratic,79.8,20.1,AL-04,,,,,,,,,
4,Mo Brooks,Peter Joffrion,Republican,Democratic,61.0,38.9,AL-05,,,,,,,,,
5,Gary Palmer,Danner Kline,Republican,Democratic,69.2,30.8,AL-06,,,,,,,,,
6,Terri Sewell,Write-ins,Democratic,Other,97.8,2.2,AL-07,Terri A. Sewell,Democratic,WON,AL,I,,,,
7,Don Young,Alyse Galvin,Republican,Other,53.1,46.5,AK-00,Alyse E. Galvin,Democratic,Lost,AK,C,,,,
8,Tom O'Halleran,Wendy Rogers,Democratic,Republican,53.8,46.1,AZ-01,Wendy Rogers,Republican,Lost,AZ,C,,,,
9,Ann Kirkpatrick,Lea Márquez Peterson,Democratic,Republican,54.7,45.2,AZ-02,Ann L. Kirkpatrick,Democratic,WON,AZ,O,Lea Marquez Peterson,Republican,Lost,O
10,Raúl Grijalva,Nicolas Pierson,Democratic,Republican,63.9,36.1,AZ-03,,,,,,,,,
11,Paul Gosar,David Brill,Republican,Democratic,68.2,30.5,AZ-04,,,,,,,,,
12,Andy Biggs,Joan Greene,Republican,Democratic,59.4,40.6,AZ-05,Joan Greene,Democratic,Lost,AZ,C,,,,
13,David Schweikert,Anita Malik,Republican,Democratic,55.2,44.8,AZ-06,Anita Malik,Democratic,Lost,AZ,C,,,,
14,Ruben Gallego,Gary Swing,Democratic,Other,85.6,14.2,AZ-07,,,,,,,,,
15,Greg Stanton,Steve Ferrara,Democratic,Republican,61.1,38.9,AZ-09,,,,,,,,,
