,candidate1,candidate2,party1,party2,percentage1,percentage2,incumbent
AZ,Kyrsten Sinema,Martha McSally,Democratic,Republican,50.0,47.6,Republican
CA,Dianne Feinstein,Kevin de León,Democratic,Democratic,54.2,45.8,Democratic
CT,Chris Murphy,Matthew Corey,Democratic,Republican,59.5,39.4,Democratic
DE,Tom Carper,Rob Arlett,Democratic,Republican,60.0,37.8,Democratic
FL,Rick Scott,Bill Nelson,Republican,Democratic,50.06,49.93,Democratic
HI,Mazie Hirono,Ron Curtis,Democratic,Republican,71.2,28.8,Democratic
IN,Mike Braun,Joe Donnelly,Republican,Democratic,50.7,44.8,Democratic
ME,Angus King,Eric Brakey,Independent,Republican,54.3,35.2,Independent
MD,Ben Cardin,Tony Campbell,Democratic,Republican,64.9,30.3,Democratic
MA,Elizabeth Warren,Geoff Diehl,Democratic,Republican,60.3,36.2,Democratic
MI,Debbie Stabenow,John James,Democratic,Republican,52.3,45.8,Democratic
MN,Amy Klobuchar,Jim Newberger,Democratic–Farmer–Labor,Republican,60.3,36.2,Democratic–Farmer–Labor
MS,Roger Wicker,David Baria,Republican,Democratic,58.5,39.5,Republican
MO,Josh Hawley,Claire McCaskill,Republican,Democratic,51.4,45.6,Democratic
MT,Jon Tester,Matt Rosendale,Democratic,Republican,50.3,46.8,Democratic
NE,Deb Fischer,Jane Raybould,Republican,Democratic,57.7,38.6,Republican
NV,Jacky Rosen,Dean Heller,Democratic,Republican,50.4,45.4,Republican
NJ,Bob Menendez,Bob Hugin,Democratic,Republican,54.0,42.8,Democratic
NM,Martin Heinrich,Mick Rich,Democratic,Republican,54.1,30.5,Democratic
NY,Kirsten Gillibrand,Chele Farley,Democratic,Republican,67.0,33.0,Democratic
ND,Kevin Cramer,Heidi Heitkamp,Republican,Democratic-NPL,55.1,44.3,Democratic-NPL
OH,Sherrod Brown,Jim Renacci,Democratic,Republican,53.4,46.6,Democratic
PA,Bob Casey Jr.,Lou Barletta,Democratic,Republican,55.7,42.6,Democratic
RI,Sheldon Whitehouse,Robert Flanders,Democratic,Republican,61.4,38.3,Democratic
TN,Marsha Blackburn,Phil Bredesen,Republican,Democratic,54.7,43.9,Republican
TX,Ted Cruz,Beto O'Rourke,Republican,Democratic,50.9,48.3,Republican
UT,Mitt Romney,Jenny Wilson,Republican,Democratic,62.6,30.9,Republican
VT,Bernie Sanders,Lawrence Zupan,Independent,Republican,67.4,27.5,Independent
VA,Tim Kaine,Corey Stewart,Democratic,Republican,57.0,41.0,Democratic
WA,Maria Cantwell,Susan Hutchison,Democratic,Republican,58.4,41.6,Democratic
WV,Joe Manchin,Patrick Morrisey,Democratic,Republican,49.6,46.3,Democratic
WI,Tammy Baldwin,Leah Vukmir,Democratic,Republican,55.4,44.5,Democratic
WY,John Barrasso,Gary Trauner,Republican,Democratic,67.0,30.1,Republican
